"";"title";"year";"length";"budget";"rating";"votes"
"3948";"Singing Detective, The";2003;109;10000000;5,3;1184
"3949";"Singles Ward, The";2002;102;500000;5,7;291
"3950";"Sip si 32 doe";1996;90;NA;7,5;245
"3951";"Siren's Kiss";1995;99;NA;3,5;46
"3952";"Sister My Sister";1994;86;NA;7;372
"3953";"Siu lam juk kau";2001;89;NA;7,3;6680
"3954";"Siunin Wong Fei-hung tsi titmalau";1993;90;2000000;7,4;3173
"3955";"Six Ways to Sunday";1997;97;NA;6;284
"3956";"Six-String Samurai";1998;91;2000000;6,2;1163
"3957";"Sixteen Years of Alcohol";2003;102;NA;5,4;209
"3958";"Sixth Man, The";1997;107;NA;5;642
"3959";"Sixth Sense, The";1999;107;55000000;8,2;96987
"3960";"Size of Watermelons, The";1996;84;NA;5,1;71
"3961";"Skateboard Kid II, The";1995;90;NA;4,3;64
"3962";"Skeletons in the Closet";2000;86;1500000;5,4;239
"3963";"Ski Hard";1995;90;NA;3,9;70
"3964";"Ski School 2";1995;89;NA;4,1;218
"3965";"Skin Deep";2003;89;400000;3,8;31
"3966";"Skinned Deep";2004;97;NA;4;40
"3967";"Skinner";1995;90;NA;4,6;118
"3968";"Skins";2002;84;NA;6,6;351
"3969";"Skipped Parts";2000;100;NA;6,3;750
"3970";"Skippy";2001;90;NA;3,5;40
"3971";"Skulls III, The";2003;102;NA;4,4;193
"3972";"Skulls, The";2000;106;15000000;5,3;6530
"3973";"Sky Captain and the World of Tomorrow";2004;106;40000000;6,5;12579
"3974";"Sky Is Falling, The";2000;105;NA;6;142
"3975";"Skyggen";1998;102;NA;4,9;170
"3976";"Slackers";2002;86;11000000;4,7;2755
"3977";"Slam";1998;100;1000000;7,1;569
"3978";"Slap Her... She's French";2002;92;10000000;4,7;811
"3979";"Slappy and the Stinkers";1998;78;NA;4;111
"3980";"Slash";2002;93;NA;4,1;287
"3981";"Slashers";2001;97;165000;5,2;213
"3982";"Slaughter Rule, The";2002;112;500000;6;356
"3983";"Sleepers";1996;147;44000000;7;17896
"3984";"Sleeping Dictionary, The";2003;109;12000000;6,1;696
"3985";"Sleepover";2004;89;10000000;4,1;733
"3986";"Sleepwalkers";1992;91;NA;4,3;2569
"3987";"Sleepy Heads";1997;87;NA;5,2;34
"3988";"Sleepy Hollow";1999;105;65000000;7,4;38857
"3989";"Sleepy Time Gal, The";2001;94;NA;6;159
"3990";"Sliding Doors";1998;99;NA;6,9;11954
"3991";"Sling Blade";1996;135;NA;8;20361
"3992";"Slipping-Down Life, A";1999;111;NA;5,9;148
"3993";"Slums of Beverly Hills";1998;92;5000000;6,4;2914
"3994";"Small Faces";1996;100;NA;7;381
"3995";"Small Soldiers";1998;110;40000000;5,8;6938
"3996";"Small Time Crooks";2000;94;18000000;6,5;6218
"3997";"Smashing Machine, The";2002;93;NA;7,9;163
"3998";"Smile";2005;107;NA;4,9;43
"3999";"Smile Like Yours, A";1997;98;18000000;4,5;348
"4000";"Smilla's Sense of Snow";1997;120;35000000;6,3;3722
"4001";"Smoke";1993;90;NA;6,4;56
"4002";"Smoke";1995;112;7000000;7,4;8111
"4003";"Smoke Signals";1998;88;2000000;7,2;2665
"4004";"Smokers, The";2000;90;NA;3,1;691
"4005";"Snake Eyes";1998;98;73000000;5,7;12091
"4006";"Snake Island";2002;90;NA;2,9;66
"4007";"Snatch.";2000;102;10000000;7,9;44785
"4008";"Snipes";2001;113;NA;5,7;123
"4009";"Snitch";1998;90;11000000;6,2;412
"4010";"Snow Day";2000;89;13000000;4,6;1645
"4011";"Snow Days";1999;90;NA;4,5;244
"4012";"Snow Dogs";2002;99;35000000;5,1;2379
"4013";"Snow Falling on Cedars";1999;127;36000000;6,7;4536
"4014";"Snow Walker, The";2003;103;NA;7,5;632
"4015";"Snow White: A Tale of Terror";1997;100;NA;6;1582
"4016";"Snowboard Academy";1996;88;NA;2,1;384
"4017";"Soccer Dog: European Cup";2004;88;NA;4,8;30
"4018";"Soccer Dog: The Movie";1999;98;NA;3,9;282
"4019";"Social Suicide";1991;98;NA;4,1;15
"4020";"Soft Fruit";1999;101;NA;6,4;239
"4021";"Soft Toilet Seats";1999;107;NA;4;16
"4022";"Soho Square";2000;79;7000;4,9;45
"4023";"Sol Goode";2001;99;3000000;5,4;291
"4024";"Solaris";2002;99;47000000;6,3;11808
"4025";"Solas";1999;101;NA;7,4;1024
"4026";"Soldier";1998;98;75000000;5,2;5590
"4027";"Soldier Boyz";1995;90;NA;4;211
"4028";"Soldier's Daughter Never Cries, A";1998;127;NA;6,9;875
"4029";"Soldier's Sweetheart, A";1998;112;NA;5,8;186
"4030";"Solitaire";1996;94;NA;2,9;14
"4031";"Solitaire for 2";1995;106;1500000;4,8;122
"4032";"Solo";1996;94;NA;3,5;699
"4033";"Solomon and Gaenor";1999;102;NA;6,6;347
"4034";"Some Girl";1998;94;NA;5,8;284
"4035";"Some Mother's Son";1996;112;NA;7,1;584
"4036";"Somebody Is Waiting";1996;96;NA;4,9;115
"4037";"Somebody to Love";1994;102;NA;5;174
"4038";"Someone Else's America";1995;96;NA;6,5;113
"4039";"Someone Like You...";2001;97;23000000;5,7;4249
"4040";"Someone to Die For";1995;105;NA;4,7;39
"4041";"Something to Talk About";1995;106;NA;5,6;2758
"4042";"Something's Gotta Give";2003;128;NA;6,8;11275
"4043";"Sometimes They Come Back... Again";1996;98;3000000;2,9;630
"4044";"Sometimes They Come Back... for More";1999;89;2000000;2,8;321
"4045";"Somewhere in the City";1998;94;NA;4,6;65
"4046";"Son de mar";2001;96;NA;5,8;316
"4047";"Son of the Mask";2005;94;74000000;1,9;1785
"4048";"Sonatine";1993;94;NA;7,5;2407
"4049";"Songcatcher";2000;109;1800000;7,2;927
"4050";"Sonny";2002;110;NA;5,5;438
"4051";"Sono pazzo di Iris Blond";1996;110;NA;6,3;144
"4052";"Sons of Provo";2004;93;200000;4,3;35
"4053";"Sorceress";1995;93;NA;3,8;141
"4054";"Sorceress II: The Temptress";1996;90;NA;2,7;36
"4055";"Sordid Lives";2000;111;NA;6,3;575
"4056";"Sorority Boys";2002;93;12000000;5,1;2398
"4057";"Sorted";2000;102;NA;5,3;238
"4058";"Sorum";2001;100;NA;6,4;156
"4059";"Soul Assassin";2001;96;7000000;4;376
"4060";"Soul Food";1997;114;7500000;6,5;1166
"4061";"Soul Plane";2004;92;16000000;3,2;2361
"4062";"Soul Survivors";2001;84;14000000;3,6;2305
"4063";"Souler Opposite, The";1998;104;NA;5,1;72
"4064";"Soulkeeper";2001;105;NA;4,8;283
"4065";"Soundman";1998;105;NA;6,8;128
"4066";"Sour Grapes";1998;92;NA;5,3;517
"4067";"Source, The";2002;97;NA;4,3;151
"4068";"South Beach Academy";1996;91;NA;3,2;104
"4069";"South Park: Bigger Longer & Uncut";1999;81;21000000;7,6;33188
"4070";"South of Heaven, West of Hell";2000;139;NA;3,7;306
"4071";"Southie";1998;95;NA;4,4;298
"4072";"Space Fury";2000;80;NA;1,6;76
"4073";"Space Jam";1996;87;80000000;5,2;7995
"4074";"Space Marines";1996;95;NA;3,3;113
"4075";"Space Truckers";1996;95;25000000;4,5;1460
"4076";"Spacejacked";1997;89;NA;2,7;43
"4077";"Spanglish";2004;130;80000000;6,7;4698
"4078";"Spanish Judges";1999;98;3500000;4,8;178
"4079";"Spanish Prisoner, The";1997;110;NA;7,4;7433
"4080";"Sparkler";1997;96;NA;5,5;196
"4081";"Spartan";2004;106;NA;6,9;5589
"4082";"Spawn";1997;98;40000000;4,6;7523
"4083";"Specials, The";2000;82;NA;6;448
"4084";"Species";1995;108;35000000;5,4;8963
"4085";"Species II";1998;93;NA;3,6;4311
"4086";"Specimen";1996;85;NA;3,5;118
"4087";"Spectres";2004;98;NA;5;26
"4088";"Speed";1994;116;28000000;7,1;32979
"4089";"Speed 2: Cruise Control";1997;121;110000000;3,3;13268
"4090";"Speed Demon";2003;85;NA;2,6;98
"4091";"Speedway Junky";1999;105;1000000;5,3;469
"4092";"Sphere";1998;134;80000000;5,3;12990
"4093";"Spice World";1997;93;25000000;3;7710
"4094";"Spider";2002;94;8000000;6,8;5193
"4095";"Spider's Web";2001;88;NA;3,7;124
"4096";"Spider-Man";2002;121;139000000;7,4;63228
"4097";"Spider-Man 2";2004;127;200000000;7,9;40256
"4098";"Spiders";2000;95;2000000;3,2;511
"4099";"Spiders II: Breeding Ground";2001;96;NA;3,2;195
"4100";"Spill";1996;87;NA;2,6;145
"4101";"Spinning Boris";2003;112;NA;6,8;204
"4102";"Spirit Lost";1996;90;NA;3,6;27
"4103";"Splendor";1999;93;NA;5,8;804
"4104";"SpongeBob SquarePants Movie, The";2004;90;30000000;6,5;2672
"4105";"Spooky House";2000;106;NA;5,6;79
"4106";"Spreading Ground, The";2000;100;NA;5,4;97
"4107";"Sprechende Grab, Das";1994;90;NA;3,9;8
"4108";"Spriggan: The Movie";1998;90;NA;6,5;584
"4109";"Spring Forward";1999;110;2000000;7,1;307
"4110";"Sprung";1997;105;NA;4;194
"4111";"Spun";2002;106;2800000;6,2;3924
"4112";"Spy Game";2001;126;92000000;7;16736
"4113";"Spy Hard";1996;81;18000000;4,5;4686
"4114";"Spy Kids 2: Island of Lost Dreams";2002;99;39000000;5,8;3175
"4115";"Spy Kids 3-D: Game Over";2003;84;39000000;4,7;2597
"4116";"St. Ives";1999;90;NA;6,2;179
"4117";"Stage Beauty";2004;110;NA;7,3;1211
"4118";"Stageghost";2000;104;NA;3,9;26
"4119";"Stand-In, The";1999;100;400000;5,6;42
"4120";"Standard Time";2002;102;NA;5,8;89
"4121";"Stander";2003;111;NA;7,2;659
"4122";"Standing in the Shadows of Motown";2002;108;NA;7,7;869
"4123";"Standing on Fishes";1999;89;NA;6;35
"4124";"Standoff";1998;87;NA;4,6;116
"4125";"Stanza del figlio, La";2001;99;NA;7,4;2992
"4126";"Star Kid";1997;101;12000000;5;269
"4127";"Star Maps";1997;86;NA;6,1;350
"4128";"Star Trek: First Contact";1996;106;45000000;7,3;25046
"4129";"Star Trek: Insurrection";1998;103;58000000;6,3;13395
"4130";"Star Trek: Nemesis";2002;116;70000000;6,5;11785
"4131";"Star Trek: The Motion Picture";1979;143;35000000;5,8;10752
"4132";"Star Trek: The Wrath of Khan";1982;116;11000000;7,6;16333
"4133";"Star Wars";1977;125;11000000;8,8;134640
"4134";"Star Wars: Episode I - The Phantom Menace";1999;133;115000000;6,4;84488
"4135";"Star Wars: Episode II - Attack of the Clones";2002;120;120000000;7;63889
"4136";"Star Wars: Episode V - The Empire Strikes Back";1980;129;18000000;8,8;103706
"4137";"Star Wars: Episode VI - Return of the Jedi";1983;135;32500000;8,1;82471
"4138";"Stardom";2000;105;NA;5,2;499
"4139";"Starforce";2000;93;NA;3,5;77
"4140";"Stark Raving Mad";2002;102;5000000;6,2;601
"4141";"Starkweather";2004;92;1000000;4,6;89
"4142";"Starquest II";1997;92;NA;2;104
"4143";"Starry Night";1999;101;NA;4,1;94
"4144";"Starship Troopers";1997;129;95000000;6,7;32618
"4145";"Starsky & Hutch";2004;101;60000000;6,3;13529
"4146";"Startup.com";2001;105;NA;7,2;1359
"4147";"State Property";2002;88;NA;2,7;265
"4148";"State Property 2";2005;94;NA;3,7;58
"4149";"State and Main";2000;105;NA;7;6995
"4150";"Statement, The";2003;120;23000000;6,1;710
"4151";"Stateside";2004;97;16000000;5,4;247
"4152";"Station Agent, The";2003;88;500000;8,1;7112
"4153";"Stay Away, Joe";1968;102;NA;3,8;143
"4154";"Steal Big Steal Little";1995;135;35000000;4,6;263
"4155";"Stealing Beauty";1996;113;NA;6,2;3932
"4156";"Stealing Harvard";2002;82;25000000;4,7;2547
"4157";"Stealing Sinatra";2003;96;NA;5,5;137
"4158";"Stealth Fighter";1999;88;NA;3,6;220
"4159";"Steamboy";2004;126;20000000;6,6;529
"4160";"Steel";1997;97;16000000;2,6;1607
"4161";"Steel Frontier";1995;105;NA;4,9;44
"4162";"Steel Sharks";1996;94;NA;3,8;100
"4163";"Step Into Liquid";2003;88;NA;7,3;497
"4164";"Stepdaughter, The";2000;92;NA;3,7;114
"4165";"Stepford Wives, The";2004;93;90000000;5,3;7773
"4166";"Stepmom";1998;124;50000000;6,1;7470
"4167";"Sterling Chase, The";1999;95;NA;5,8;75
"4168";"Stevie";2002;140;NA;8,2;453
"4169";"Stickmen";2001;98;NA;6,6;372
"4170";"Sticks and Stones";1996;95;NA;5,8;111
"4171";"Stickup, The";2001;94;NA;6,2;230
"4172";"Stigmata";1999;103;32000000;6;14062
"4173";"Still Breathing";1997;109;NA;6,5;659
"4174";"Still Crazy";1998;100;NA;6,6;1561
"4175";"Stir of Echoes";1999;99;13000000;7;11433
"4176";"Stoked: The Rise and Fall of Gator";2002;82;NA;7,2;238
"4177";"Stolen Heart";1998;85;NA;5,7;29
"4178";"Stolen Summer";2002;91;1500000;6,2;801
"4179";"Stone Reader";2002;127;NA;7,4;197
"4180";"Stonebrook";1999;90;NA;4,9;125
"4181";"Stonewall";1995;99;NA;6,7;353
"4182";"Storefront Hitchcock";1998;77;NA;7,2;90
"4183";"Storm Catcher";1999;91;NA;3,8;311
"4184";"Storm Watch";2002;100;NA;5,2;228
"4185";"Stormswept";1995;93;NA;2,8;37
"4186";"Stormy Nights";1996;87;NA;3,3;51
"4187";"Story of Us, The";1999;95;50000000;5,6;4953
"4188";"Storytelling";2001;87;NA;6,7;4025
"4189";"Strange Bedfellows";2004;100;NA;6;125
"4190";"Strange Days";1995;145;42000000;6,9;11869
"4191";"Strange Hearts";2001;90;NA;5,5;82
"4192";"Strangeland";1998;92;2000000;4,4;1179
"4193";"Stranger Than Fiction";1999;96;NA;6,1;372
"4194";"Stranger in the House";1997;94;NA;5;47
"4195";"Stranger in the Kingdom";1998;112;NA;6,3;52
"4196";"Stranger, The";1995;98;NA;3,8;95
"4197";"Strangers on a Train";1951;103;1200000;8,3;10624
"4198";"Strategic Command";1997;90;NA;3,5;166
"4199";"Stray, The";2000;94;NA;4,5;111
"4200";"Street Fighter II Movie";1994;94;NA;6,6;812
"4201";"Street Gun";1996;92;NA;4,1;32
"4202";"Street Law";1995;98;NA;4,1;42
"4203";"Stricken";1998;88;NA;2,7;34
"4204";"Strictly Sinatra";2001;97;NA;6,2;120
"4205";"Strike!";1998;97;NA;6,2;1222
"4206";"Striking Poses";1999;93;NA;4,4;137
"4207";"Striking Resemblance";1997;103;NA;4,3;33
"4208";"Strip Search";1997;90;NA;2,5;62
"4209";"Stripes";1981;106;10000000;6,8;7406
"4210";"Stripper Wives";1999;86;NA;4,4;26
"4211";"Stripshow";1996;96;NA;4,2;51
"4212";"Striptease";1996;117;50000000;3,8;7998
"4213";"Stuart Little";1999;81;103000000;6;8009
"4214";"Stuart Little 2";2002;82;120000000;5,9;2324
"4215";"Stuart Saves His Family";1995;95;NA;5,2;747
"4216";"Stuey";2003;110;NA;6;128
"4217";"Styx";2001;93;NA;4,4;194
"4218";"SubUrbia";1996;121;NA;6,4;2148
"4219";"Sublet";1998;90;NA;5;96
"4220";"Submerged";2000;95;NA;3,3;116
"4221";"Subspecies 4: Bloodstorm";1998;91;NA;4,4;136
"4222";"Substance of Fire, The";1996;97;NA;5,7;223
"4223";"Substitute, The";1996;114;NA;5,4;2032
"4224";"Subterano";2003;91;NA;4,2;135
"4225";"Subterfuge";1996;95;NA;2,9;51
"4226";"Suburbans, The";1999;85;NA;4,3;564
"4227";"Success Is the Best Revenge";1984;91;NA;5,7;31
"4228";"Sucker Punch";2003;90;NA;3,4;19
"4229";"Sudden Death";1995;110;NA;5,1;3053
"4230";"Suddenly Naked";2001;105;NA;5,7;153
"4231";"Sugar & Spice";2001;84;11000000;5,3;2901
"4232";"Sugar Town";1999;92;250000;5,8;307
"4233";"Suicide Blonde";1999;93;NA;5,3;36
"4234";"Suicide Kings";1997;106;5000000;7;6117
"4235";"Suite 16";1994;106;NA;5,1;222
"4236";"Suits";1999;88;NA;3,8;45
"4237";"Sum of All Fears, The";2002;123;68000000;6,6;15835
"4238";"Sum of Us, The";1994;100;NA;7,3;1411
"4239";"Summer Catch";2001;105;17000000;4,5;2581
"4240";"Summer of Sam";1999;142;22000000;6,5;8151
"4241";"Sunchaser, The";1996;122;NA;5,6;704
"4242";"Sunset Park";1996;99;NA;4,6;236
"4243";"Sunset Strip";2000;90;NA;5,1;239
"4244";"Sunshine";1999;181;NA;7,3;2920
"4245";"Sunshine State";2002;141;5600000;7;1481
"4246";"Super Size Me";2004;100;300000;7,7;9487
"4247";"Super Sucker";2002;93;NA;4,3;291
"4248";"Super Troopers";2001;100;3000000;6,3;7728
"4249";"SuperBabies: Baby Geniuses 2";2004;88;NA;1,8;2224
"4250";"Superman";1978;151;55000000;7,1;17327
"4251";"Superstar";1999;81;14000000;4,5;2880
"4252";"Surface to Air";1997;93;NA;4,1;83
"4253";"Suriyothai";2001;142;NA;6,7;431
"4254";"Surrender";2000;94;NA;3,2;39
"4255";"Surviving Christmas";2004;91;NA;4,5;1480
"4256";"Surviving Picasso";1996;125;16000000;6,1;1139
"4257";"Survivors Exposed";2001;93;NA;5,5;38
"4258";"Susan's Plan";1998;89;NA;5,1;558
"4259";"Suspect Zero";2004;99;27000000;5,7;1310
"4260";"Suspicious River";2000;92;NA;5,5;208
"4261";"Svitati";1999;85;NA;4,4;111
"4262";"Sweatbox, The";2002;86;NA;7,1;15
"4263";"Sweepers";1999;93;12500000;3,9;276
"4264";"Sweet Hereafter, The";1997;112;NA;7,9;9433
"4265";"Sweet Home Alabama";2002;108;38000000;5,8;9943
"4266";"Sweet Nothing";1996;89;NA;5,3;204
"4267";"Sweet November";2001;115;40000000;5,5;5458
"4268";"Sweet Thing";2000;115;NA;6,9;42
"4269";"Sweet and Lowdown";1999;95;NA;7,2;5811
"4270";"Sweetest Thing, The";2002;90;43000000;4,7;8284
"4271";"Sweethearts";1996;83;NA;6,3;283
"4272";"Swept Away";2002;89;10000000;3,8;2113
"4273";"Swept from the Sea";1997;115;NA;6,7;571
"4274";"Swimfan";2002;85;8500000;4,5;3863
"4275";"Swimming";2000;90;NA;6,3;406
"4276";"Swimming Pool";2003;103;NA;6,9;6936
"4277";"Swimming Pool - Der Tod feiert mit";2001;89;NA;3,4;449
"4278";"Swimming Upstream";2003;105;NA;7,5;259
"4279";"Swimming with Sharks";1994;101;700000;7,1;4837
"4280";"Swing";1999;97;NA;5,8;135
"4281";"Swingers";1996;96;200000;7,6;15827
"4282";"Swiri";1999;125;5000000;6,6;1704
"4283";"Switchback";1997;118;38000000;6,1;2195
"4284";"Swordfish";2001;99;80000000;6,2;20455
"4285";"Sworn to Justice";1996;97;NA;5,4;40
"4286";"Sydney";1996;102;NA;7,3;4025
"4287";"Sylvia";2003;110;NA;6,1;1213
"4288";"THX 1138";1971;88;777000;6,5;4274
"4289";"Table One";2000;90;NA;5,3;85
"4290";"Table for One, A";1999;96;NA;4,7;145
"4291";"Tactical Assault";1998;92;NA;3,6;134
"4292";"Tadpole";2002;78;150000;6,3;1769
"4293";"Taegukgi hwinalrimyeo";2004;140;12800000;8,5;1792
"4294";"Tai ji zhang san feng";1993;96;NA;7,1;1718
"4295";"Tail Lights Fade";1999;87;NA;4,3;346
"4296";"Tail Sting";2001;97;NA;2,2;97
"4297";"Tailor of Panama, The";2001;109;18000000;6,1;5997
"4298";"Takedown";2000;96;NA;6,1;1469
"4299";"Taking Lives";2004;109;NA;5,7;7533
"4300";"Tale of Two Sisters";1989;89;NA;2,5;41
"4301";"Tale of Two Sisters, A";2004;15;NA;8;32
"4302";"Tale of the Mummy";1998;119;8000000;3,7;570
"4303";"Talented Mr. Ripley, The";1999;139;40000000;7;25974
"4304";"Tales from the Hood";1995;98;6000000;5,1;548
"4305";"Talisman";1998;72;NA;2,9;92
"4306";"Talk of Angels";1998;96;NA;6,5;225
"4307";"Tangled";2001;86;NA;5,5;467
"4308";"Tango Lesson, The";1997;100;NA;6,3;615
"4309";"Tango, no me dejes nunca";1998;126;NA;6,8;696
"4310";"Tank Girl";1995;104;25000000;4,6;4400
"4311";"Tao of Steve, The";2000;81;NA;6,8;2524
"4312";"Tape";2001;86;NA;7,2;2976
"4313";"Tapped Out";2001;95;NA;6,2;6
"4314";"Taqueria, La";2003;82;NA;6,3;20
"4315";"Target";2004;84;NA;2,4;131
"4316";"Target of Opportunity";2004;90;NA;6,5;16
"4317";"Target of Seduction";1995;87;NA;3,7;12
"4318";"Targets";1968;90;130000;7,4;793
"4319";"Tart";2001;94;3300000;4,6;714
"4320";"Tarzan and the Lost City";1998;83;20000000;3,6;510
"4321";"Tashunga";1996;88;NA;4,4;234
"4322";"Taste the Blood of Dracula";1970;91;NA;5,4;345
"4323";"Taxman, The";1999;104;1000000;5,7;169
"4324";"Tea with Mussolini";1999;117;12000000;6,7;2711
"4325";"Teach Me";1998;90;NA;3,9;28
"4326";"Teacher's Pet";2004;74;10000000;5,6;218
"4327";"Teaching Mrs. Tingle";1999;96;13000000;5;5244
"4328";"Team America: World Police";2004;98;30000000;7,3;13104
"4329";"Tears of the Sun";2003;121;70000000;6,2;8690
"4330";"Ted Bundy";2002;99;1200000;5,2;852
"4331";"Teddy Bears' Picnic";2002;80;NA;3,4;220
"4332";"Teen Sorcery";1999;90;NA;3,9;57
"4333";"Teenage Space Vampires";1998;90;NA;2,4;55
"4334";"Tejing xinrenlei";1999;113;NA;6,1;495
"4335";"Tejing xinrenlei 2";2000;120;NA;4,6;237
"4336";"Teknolust";2002;85;NA;5,1;259
"4337";"Tell Them Who You Are";2004;95;NA;6,7;64
"4338";"Telling You";1998;94;NA;4,5;274
"4339";"Telmisseomding";1999;118;NA;6,7;575
"4340";"Tempo";2003;85;NA;4,7;192
"4341";"Temps du loup, Le";2003;114;NA;6,4;557
"4342";"Tempted";2001;97;NA;5,4;246
"4343";"Ten Tiny Love Stories";2001;96;NA;5,9;94
"4344";"Tequila Body Shots";1999;97;NA;3,2;110
"4345";"Terminal Error";2002;120;NA;4,7;122
"4346";"Terminal Rush";1995;94;NA;2,9;51
"4347";"Terminal, The";2004;128;60000000;7,1;15809
"4348";"Termination Man";2000;92;NA;1,9;29
"4349";"Terminator 2: Judgment Day";1991;154;100000000;8,2;77614
"4350";"Terminator 3: Rise of the Machines";2003;109;175000000;6,9;32111
"4351";"Terminator Woman";1993;105;NA;3,7;39
"4352";"Terrified";1996;95;NA;3,9;157
"4353";"Terror Firmer";1999;98;NA;5,6;782
"4354";"Terror Tract";2000;96;11000000;5,6;281
"4355";"Tesis";1996;118;NA;7,6;4066
"4356";"Tesseract, The";2003;96;NA;5,2;165
"4357";"Testimony of Taliesin Jones, The";2000;93;NA;6,5;63
"4358";"Testing the Limits";1998;100;NA;5,7;48
"4359";"Testosterone";2003;105;NA;5,4;137
"4360";"Tetsuo II: Body Hammer";1992;83;NA;6,1;582
"4361";"Texas";2002;78;NA;6,6;72
"4362";"Texas 46";2002;96;NA;5,1;51
"4363";"Texas Chainsaw Massacre, The";2003;98;9200000;5,9;9587
"4364";"Texas Funeral, A";1999;98;NA;6,4;136
"4365";"Texas Payback";1994;96;NA;5,5;19
"4366";"Texas Rangers";2001;86;38000000;5,1;945
"4367";"That Darn Cat";1997;89;NA;4,2;696
"4368";"That Old Feeling";1997;105;NA;5,8;674
"4369";"Theodore Rex";1995;92;33000000;2,2;567
"4370";"Theory of Flight, The";1998;101;NA;6,5;634
"4371";"There Goes My Baby";1994;110;10500000;6,1;253
"4372";"There's No Fish Food In Heaven";1998;92;NA;3,8;70
"4373";"There's Something About Mary";1998;134;23000000;7,2;46343
"4374";"Theremin: An Electronic Odyssey";1994;83;NA;7,2;280
"4375";"They";2002;89;17000000;4,4;2660
"4376";"They Call Me MISTER Tibbs!";1970;108;NA;5,8;279
"4377";"They Crawl";2001;93;NA;3,5;132
"4378";"Thick as Thieves";1998;93;NA;5,8;540
"4379";"Thief & the Stripper, The";1998;84;NA;3;10
"4380";"Thin Line Between Love and Hate, A";1996;108;8000000;4,4;458
"4381";"Thin Red Line, The";1998;170;52000000;7,2;25637
"4382";"Things Behind the Sun";2001;120;NA;7,5;347
"4383";"Things You Can Tell Just by Looking at Her";2000;109;NA;6,6;1779
"4384";"Things to Do in Denver When You're Dead";1995;115;8000000;6,6;5703
"4385";"Thinner";1996;92;NA;5;2633
"4386";"Thir13en Ghosts";2001;87;20000000;5,1;8292
"4387";"Third Miracle, The";1999;119;NA;6,7;997
"4388";"Third Society, The";2002;84;NA;4,4;44
"4389";"Third World Cop";1999;98;NA;4,8;79
"4390";"Thirteen";2003;100;1500000;7,1;8652
"4391";"Thirteen Conversations About One Thing";2001;104;3000000;7,2;2883
"4392";"Thirteen Days";2000;145;80000000;7,4;10926
"4393";"Thirteenth Floor, The";1999;100;16000000;6,4;7712
"4394";"This Boy's Life";1993;115;NA;7,1;3913
"4395";"This Girl's Life";2003;104;NA;6,3;284
"4396";"This So-Called Disaster: Sam Shepard Directs the Late Henry Moss";2003;90;NA;5,8;46
"4397";"This World, Then the Fireworks";1997;100;NA;4,6;340
"4398";"Thomas Crown Affair, The";1999;113;48000000;6,7;17220
"4399";"Thomas est amoureux";2000;97;NA;7,2;623
"4400";"Thousand Acres, A";1997;105;NA;5,7;1403
"4401";"Three Blind Mice";2003;93;NA;4,3;207
"4402";"Three Kings";1999;114;48000000;7,3;31503
"4403";"Three Seasons";1999;104;NA;7,2;1027
"4404";"Three Wishes";1995;115;NA;5,5;552
"4405";"Three to Tango";1999;98;20000000;6;5719
"4406";"Thunderbirds";2004;95;57000000;4,4;1419
"4407";"Thursday";1998;87;NA;6,6;1572
"4408";"Thy Neighbor's Wife";2001;92;NA;3,9;92
"4409";"Tian di ying xiong";2003;115;NA;6,4;567
"4410";"Tian yu";1998;99;NA;7,3;849
"4411";"Tic Code, The";1999;91;NA;5,8;164
"4412";"Tick Tock";2000;93;NA;5,8;163
"4413";"Ticker";2001;92;NA;3,3;1491
"4414";"Tie That Binds, The";1995;99;NA;4,7;307
"4415";"Tie-died: Rock 'n Roll's Most Deadicated Fans";1995;80;NA;6;28
"4416";"Tiger Claws III";1999;95;NA;3;43
"4417";"Tigerland";2000;100;NA;7,2;5945
"4418";"Till Human Voices Wake Us";2002;101;NA;6;456
"4419";"Tillsammans";2000;106;NA;7,5;4277
"4420";"Time Changer";2002;95;825000;4,5;304
"4421";"Time Machine, The";2002;96;80000000;5,5;12424
"4422";"Time Served";1999;94;NA;3,1;115
"4423";"Time Share";2000;87;NA;5,2;327
"4424";"Time Under Fire";1996;88;NA;3,6;104
"4425";"Time to Kill, A";1996;149;40000000;6,9;15577
"4426";"Timecode";2000;97;4000000;6,2;2320
"4427";"Timecop: The Berlin Decision";2003;82;NA;4,8;346
"4428";"Timeless Obsession";1997;89;NA;3,8;15
"4429";"Timeline";2003;116;80000000;5,2;5803
"4430";"Timemaster";1995;100;NA;4,3;101
"4431";"Timequest";2002;92;NA;4,4;147
"4432";"Timothy Leary's Dead";1996;80;NA;5,5;38
"4433";"Tin Cup";1996;135;45000000;6,2;7521
"4434";"Tinseltown";1997;88;NA;4,4;89
"4435";"Tiptoes";2003;90;NA;4,9;443
"4436";"Titan A.E.";2000;94;75000000;6,4;9373
"4437";"Titanic";1997;194;200000000;6,9;90195
"4438";"Titus";1999;162;NA;7,2;5465
"4439";"To Die For";1994;101;NA;5,9;110
"4440";"To Die, to Sleep";1994;86;NA;4,7;33
"4441";"To End All Wars";2001;110;NA;7,1;1447
"4442";"To Gillian on Her 37th Birthday";1996;93;NA;5,6;1421
"4443";"To Walk with Lions";1999;108;NA;6,1;151
"4444";"To Wong Foo, Thanks for Everything! Julie Newmar";1995;109;NA;5,5;3646
"4445";"To the Limit";1995;98;NA;2,6;229
